version	n	seed	elapsed	fitness
bias: 0.700000 1.000000	512	10	2.676363	-160.014252
bias: 0.700000 1.000000	1024	1	4.257051	-317.647705
bias: 0.700000 1.000000	1024	2	4.259091	-317.394135
bias: 0.700000 1.000000	1024	3	4.260800	-317.290741
bias: 0.700000 1.000000	1024	4	4.256833	-317.184692
bias: 0.700000 1.000000	1024	5	4.260575	-316.043304
bias: 0.700000 1.000000	1024	6	4.260878	-317.192047
bias: 0.700000 1.000000	1024	7	4.259153	-317.467499
bias: 0.700000 1.000000	1024	8	4.259865	-317.049347
bias: 0.700000 1.000000	1024	9	4.260282	-317.316223
bias: 0.700000 1.000000	1024	10	4.261396	-317.348969
bias: 0.700000 1.000000	2048	1	7.429485	-616.763245
bias: 0.700000 1.000000	2048	2	7.430063	-616.780579
bias: 0.700000 1.000000	2048	3	7.425952	-617.558289
bias: 0.700000 1.000000	2048	4	7.428049	-617.070557
bias: 0.700000 1.000000	2048	5	7.428236	-616.620056
bias: 0.700000 1.000000	2048	6	7.426670	-616.411255
bias: 0.700000 1.000000	2048	7	7.426323	-616.448181
bias: 0.700000 1.000000	2048	8	7.425508	-615.637756
bias: 0.700000 1.000000	2048	9	7.425617	-618.068481
bias: 0.700000 1.000000	2048	10	7.425440	-617.327515
bias: 0.700000 1.000000	4096	1	13.807081	-1169.574951
bias: 0.700000 1.000000	4096	2	13.808731	-1171.865234
bias: 0.700000 1.000000	4096	3	13.808773	-1171.178589
bias: 0.700000 1.000000	4096	4	13.809795	-1169.906738
bias: 0.700000 1.000000	4096	5	13.806978	-1174.449463
bias: 0.700000 1.000000	4096	6	13.808939	-1170.048340
bias: 0.700000 1.000000	4096	7	13.805971	-1169.339966
bias: 0.700000 1.000000	4096	8	13.805105	-1169.369141
bias: 0.700000 1.000000	4096	9	13.802812	-1171.749146
bias: 0.700000 1.000000	4096	10	13.807193	-1168.675415
bias: 0.700000 1.000000	8192	1	26.717625	-2132.391113
bias: 0.700000 1.000000	8192	2	26.718246	-2140.108887
bias: 0.700000 1.000000	8192	3	26.712664	-2134.601807
bias: 0.700000 1.000000	8192	4	26.714256	-2134.211426
bias: 0.700000 1.000000	8192	5	26.715647	-2135.491943
bias: 0.700000 1.000000	8192	6	26.715139	-2144.073242
bias: 0.700000 1.000000	8192	7	26.708885	-2139.515381
bias: 0.700000 1.000000	8192	8	26.715439	-2143.390869
bias: 0.700000 1.000000	8192	9	26.715284	-2132.803223
bias: 0.700000 1.000000	8192	10	26.708849	-2140.291504
